transaction_id,user_id,timestamp,amount,country,device,channel,hour,dayofweek,coupon_applied,num_items,is_fraud
6253,3594,2023-01-28 06:04:00+00:00,125.79,us,mobile,ads,6,5,False,5,False
4685,2502,2023-04-27 21:32:00+00:00,153.4,de,mobile,web,21,3,False,3,False
1732,2287,2023-08-19 19:03:00+00:00,7.64,in,tablet,app,19,5,False,3,False
4743,3043,2023-03-14 04:56:00+00:00,36.36,us,mobile,web,4,1,True,2,False
4522,4629,2023-09-24 21:33:00+00:00,55.17,es,mobile,app,21,6,False,1,False
6341,1945,2023-08-09 21:03:00+00:00,27.21,jp,mobile,ads,21,2,False,2,False
577,4051,2023-01-04 20:57:00+00:00,314.76,br,mobile,web,20,2,True,3,False
5203,2196,2023-07-01 14:58:00+00:00,33.19,uk,mobile,web,14,5,False,5,False
6364,2348,2023-12-17 17:22:00+00:00,134.44,us,mobile,ads,17,6,True,2,False
440,3085,2023-09-06 18:34:00+00:00,67.82,uk,mobile,email,18,2,False,3,False
2751,2925,2023-10-22 18:26:00+00:00,15.87,de,mobile,web,18,6,False,4,False
7488,2262,2023-06-09 06:31:00+00:00,16.22,jp,desktop,app,6,4,False,4,False
5273,3512,2023-11-30 17:05:00+00:00,16.69,fr,desktop,web,17,3,True,1,False
5654,4906,2023-12-31 23:49:00+00:00,49.85,uk,desktop,web,23,6,False,3,False
4000,2633,2023-03-27 02:17:00+00:00,45.96,br,desktop,web,2,0,False,3,False
6034,1082,2023-04-04 08:05:00+00:00,36.94,us,desktop,web,8,1,False,7,False
583,1876,2023-03-08 01:19:00+00:00,133.36,us,desktop,web,1,2,False,2,False
9931,2041,2023-04-18 10:56:00+00:00,49.18,es,desktop,ads,10,1,False,1,False
7052,1719,2023-04-17 20:53:00+00:00,74.97,de,tablet,web,20,0,False,7,False
8159,3575,2023-03-25 04:19:00+00:00,61.56,us,tablet,social,4,5,False,2,False
9897,3952,2023-12-20 10:41:00+00:00,25.85,ca,mobile,web,10,2,False,3,False
2250,2193,2023-03-06 04:16:00+00:00,39.62,jp,mobile,app,4,0,False,3,False
4641,4259,2023-12-19 22:52:00+00:00,87.76,es,mobile,web,22,1,False,3,False
9486,3460,2023-10-27 00:09:00+00:00,16.89,jp,tablet,app,0,4,False,4,False
4948,4363,2023-07-17 20:51:00+00:00,62.69,au,mobile,app,20,0,True,6,False
9921,4988,2023-04-25 17:25:00+00:00,9.29,in,mobile,ads,17,1,False,3,False
1964,4023,2023-08-04 04:38:00+00:00,39.42,au,mobile,app,4,4,False,4,False
8244,1941,2023-10-26 07:46:00+00:00,44.92,de,tablet,app,7,3,False,1,False
6591,4046,2023-10-16 14:36:00+00:00,65.57,fr,desktop,app,14,0,True,5,False
