transaction_id,user_id,timestamp,amount,country,device,channel,hour,dayofweek,coupon_applied,num_items,is_fraud
6253,3594,2023-01-28 06:04:00,125.79,US,mobile,ads,6,5,0,5,0
4685,2502,2023-04-27 21:32:00,153.4,DE,mobile,web,21,3,0,3,0
1732,2287,2023-08-19 19:03:00,7.64,IN,tablet,app,19,5,0,3,0
4743,3043,2023-03-14 04:56:00,36.36,US,mobile,web,4,1,1,2,0
4522,4629,2023-09-24 21:33:00,55.17,ES,mobile,app,21,6,0,1,0
6341,1945,2023-08-09 21:03:00,27.21,JP,mobile,ads,21,2,0,2,0
577,4051,2023-01-04 20:57:00,314.76,BR,mobile,web,20,2,1,3,0
5203,2196,2023-07-01 14:58:00,33.19,UK,mobile,web,14,5,0,5,0
6364,2348,2023-12-17 17:22:00,134.44,US,mobile,ads,17,6,1,2,0
440,3085,2023-09-06 18:34:00,67.82,UK,mobile,email,18,2,0,3,0
2751,2925,2023-10-22 18:26:00,15.87,DE,mobile,web,18,6,0,4,0
7488,2262,2023-06-09 06:31:00,16.22,JP,desktop,app,6,4,0,4,0
5273,3512,2023-11-30 17:05:00,16.69,FR,desktop,web,17,3,1,1,0
5654,4906,2023-12-31 23:49:00,49.85,UK,desktop,web,23,6,0,3,0
4000,2633,2023-03-27 02:17:00,45.96,BR,desktop,web,2,0,0,3,0
6034,1082,2023-04-04 08:05:00,36.94,US,desktop,web,8,1,0,7,0
583,1876,2023-03-08 01:19:00,133.36,US,desktop,web,1,2,0,2,0
9931,2041,2023-04-18 10:56:00,49.18,ES,desktop,ads,10,1,0,1,0
7052,1719,2023-04-17 20:53:00,74.97,DE,tablet,web,20,0,0,7,0
8159,3575,2023-03-25 04:19:00,61.56,US,tablet,social,4,5,0,2,0
9897,3952,2023-12-20 10:41:00,25.85,CA,mobile,web,10,2,0,3,0
2250,2193,2023-03-06 04:16:00,39.62,JP,mobile,app,4,0,0,3,0
4641,4259,2023-12-19 22:52:00,87.76,ES,mobile,web,22,1,0,3,0
9486,3460,2023-10-27 00:09:00,16.89,JP,tablet,app,0,4,0,4,0
4948,4363,2023-07-17 20:51:00,62.69,AU,mobile,app,20,0,1,6,0
