transaction_id,country,channel,device,amount,num_items,coupon_applied,is_fraud,risk_score,risk_category
6253,US,ads,mobile,125.79,5,0,0,63,MEDIUM
4685,DE,web,mobile,153.4,3,0,0,63,MEDIUM
1732,IN,app,tablet,7.64,3,0,0,47,LOW
4743,US,web,mobile,36.36,2,1,0,54,MEDIUM
4522,ES,app,mobile,55.17,1,0,0,52,MEDIUM
6341,JP,ads,mobile,27.21,2,0,0,54,MEDIUM
577,BR,web,mobile,314.76,3,1,0,69,MEDIUM
5203,UK,web,mobile,33.19,5,0,0,53,MEDIUM
6364,US,ads,mobile,134.44,2,1,0,55,MEDIUM
440,UK,email,mobile,67.82,3,0,0,59,MEDIUM
2751,DE,web,mobile,15.87,4,0,0,53,MEDIUM
7488,JP,app,desktop,16.22,4,0,0,48,LOW
5273,FR,web,desktop,16.69,1,1,0,44,LOW
5654,UK,web,desktop,49.85,3,0,0,51,MEDIUM
4000,BR,web,desktop,45.96,3,0,0,56,MEDIUM
6034,US,web,desktop,36.94,7,0,0,52,MEDIUM
583,US,web,desktop,133.36,2,0,0,60,MEDIUM
9931,ES,ads,desktop,49.18,1,0,0,50,MEDIUM
7052,DE,web,tablet,74.97,7,0,0,53,MEDIUM
8159,US,social,tablet,61.56,2,0,0,53,MEDIUM
9897,CA,web,mobile,25.85,3,0,0,51,MEDIUM
2250,JP,app,mobile,39.62,3,0,0,57,MEDIUM
4641,ES,web,mobile,87.76,3,0,0,55,MEDIUM
9486,JP,app,tablet,16.89,4,0,0,52,MEDIUM
4948,AU,app,mobile,62.69,6,1,0,55,MEDIUM
9921,IN,ads,mobile,9.29,3,0,0,53,MEDIUM
1964,AU,app,mobile,39.42,4,0,0,57,MEDIUM
8244,DE,app,tablet,44.92,1,0,0,43,LOW
6591,FR,app,desktop,65.57,5,1,0,50,MEDIUM
8848,IN,web,mobile,22.79,3,0,0,51,MEDIUM
322,DE,web,mobile,19.11,4,0,0,51,MEDIUM
2679,BR,app,mobile,60.59,1,1,0,47,LOW
4626,UK,app,desktop,54.98,5,0,0,55,MEDIUM
4950,IN,web,desktop,191.74,3,1,1,59,MEDIUM
8329,FR,web,mobile,129.7,1,1,0,52,MEDIUM
3338,CA,app,mobile,43.18,2,0,0,50,MEDIUM
5590,FR,social,mobile,57.28,2,0,0,53,MEDIUM
252,IN,web,desktop,10.96,2,0,0,49,LOW
3974,AU,ads,mobile,68.26,2,1,0,54,MEDIUM
6631,CA,web,mobile,37.42,4,0,0,50,MEDIUM
5548,IN,app,mobile,69.78,1,0,0,52,MEDIUM
36,CA,app,desktop,120.8,3,0,0,53,MEDIUM
8363,IN,web,mobile,55.03,3,0,0,53,MEDIUM
1514,AU,email,mobile,32.27,6,0,0,65,MEDIUM
9318,AU,app,mobile,110.89,3,0,1,58,MEDIUM
40,UK,web,mobile,25.26,3,0,0,58,MEDIUM
4820,UK,email,tablet,45.94,3,0,0,49,LOW
3466,JP,ads,mobile,168.63,6,1,1,67,MEDIUM
1761,AU,app,mobile,13.32,2,0,0,55,MEDIUM
2305,FR,app,desktop,25.85,1,0,0,45,LOW
3724,AU,web,tablet,53.34,4,0,0,48,LOW
8285,IN,ads,mobile,38.16,2,1,0,52,MEDIUM
4994,JP,ads,mobile,248.37,4,0,0,75,HIGH
8128,US,web,tablet,138.79,5,0,0,55,MEDIUM
3033,IN,ads,mobile,90.51,2,1,0,52,MEDIUM
7939,JP,app,mobile,64.62,2,0,0,49,LOW
3040,ES,web,mobile,31.99,1,0,0,56,MEDIUM
9656,ES,app,mobile,77.5,4,0,0,51,MEDIUM
2546,IN,email,mobile,33.85,3,0,0,62,MEDIUM
2593,ES,web,desktop,46.65,3,0,0,56,MEDIUM
1189,US,app,mobile,49.42,1,1,0,45,LOW
7967,US,ads,desktop,84.79,6,0,0,57,MEDIUM
6078,ES,app,tablet,24.69,2,0,0,43,LOW
108,US,ads,desktop,36.17,2,0,0,50,MEDIUM
1316,ES,web,mobile,217.73,3,1,0,63,MEDIUM
8188,US,app,desktop,38.31,1,0,0,53,MEDIUM
2754,IN,web,desktop,78.31,3,0,0,50,MEDIUM
9754,DE,web,desktop,132.05,4,0,0,55,MEDIUM
6232,US,app,mobile,22.88,2,0,0,48,LOW
2877,ES,app,mobile,63.48,6,0,0,55,MEDIUM
5324,US,app,desktop,6.27,5,0,0,51,MEDIUM
800,AU,web,mobile,82.19,6,0,0,55,MEDIUM
3571,ES,social,desktop,53.44,4,0,0,58,MEDIUM
2895,ES,web,mobile,154.65,3,0,0,68,MEDIUM
2928,UK,app,mobile,54.85,3,0,0,51,MEDIUM
8179,ES,app,mobile,30.39,6,0,0,53,MEDIUM
972,FR,web,desktop,35.44,2,0,0,54,MEDIUM
6688,CA,ads,mobile,34.4,3,1,0,59,MEDIUM
8576,US,app,tablet,91.21,6,0,0,57,MEDIUM
2021,FR,web,desktop,145.28,4,0,0,62,MEDIUM
9055,CA,app,mobile,143.45,2,1,0,59,MEDIUM
953,FR,app,mobile,39.06,2,1,0,46,LOW
5360,AU,app,mobile,103.57,4,0,0,63,MEDIUM
